article_url,headline,publication_datetime,article_category,number_of_views,article_source
https://www.qalampir.uz/news/uzbekiston-osiye-kubogidan-k-anday-foyda-kurdi-97516,Ўзбекистон Осиё кубогидан қандай фойда кўрди?,2024-02-17,Интервью,15446,Qalampir.uz
https://www.qalampir.uz/news/k-ashk-adareda-iste-molga-yarok-siz-yeg-ishlab-chik-arish-tsekhi-anik-landi-97514,Қашқадарёда истеъмолга яроқсиз ёғ ишлаб чиқариш цехи аниқланди,2024-02-17,Криминал,3516,Qalampir.uz
https://www.qalampir.uz/news/yaponiyada-ilk-marta-odamga-a-zolari-kuchirib-utkazilishi-mumkin-bulgan-chuchk-alar-yetishtirildi-97515,Японияда илк марта одамга аъзолари кўчириб ўтказилиши мумкин бўлган чўчқалар етиштирилди,2024-02-17,Бу қизиқ,6460,Qalampir.uz
https://www.qalampir.uz/news/shol-ts-armaniston-va-ozarbayzhon-urtasiga-tushdi-97513,Шольц Арманистон ва Озарбайжон ўртасига тушди (видео),2024-02-17,Олам,3211,Qalampir.uz
https://www.qalampir.uz/news/%D2%B3ammomga-smartfon-olib-kirgan-yigit-ulik-%D2%B3olda-topildi-97512,Ҳаммомга смартфон олиб кирган йигит ўлик ҳолда топилди,2024-02-17,Олам,12689,Qalampir.uz
https://www.qalampir.uz/news/fvv-mu%D2%B3im-ogo%D2%B3lantirish-bilan-chik-di-97511,ФВВ муҳим огоҳлантириш билан чиқди,2024-02-17,Жамият,34152,Qalampir.uz
https://www.qalampir.uz/news/samark-andda-elektromonter-simegochdan-yik-ilib-%D2%B3alok-buldi-97510,Самарқандда электромонтёр симёғочдан йиқилиб ҳалок бўлди,2024-02-17,Криминал,6143,Qalampir.uz
https://www.qalampir.uz/news/marmara-dengizidan-ikki-turkiyalikning-zhasadi-topildi-97509,Мармара денгизидан икки туркияликнинг жасади топилди,2024-02-17,Олам,3345,Qalampir.uz
https://www.qalampir.uz/news/amerikalik-talabalar-tarakanni-kiborgga-aylantiradigan-k-urilma-yasadi-97508,Америкалик талабалар тараканни киборгга айлантирадиган қурилма ясади (видео),2024-02-17,Технология,6073,Qalampir.uz
https://www.qalampir.uz/news/avdeyevkani-khalk-imizni-k-utk-arish-uchun-tark-etdik-zelenskiy-97507,Авдеевкани халқимизни қутқариш учун тарк этдик – Зеленский,2024-02-17,Олам,8542,Qalampir.uz
https://www.qalampir.uz/news/nato-rossiyadan-kuchli-stoltenberg-97506,НАТО Россиядан кучли – Столтенберг,2024-02-17,Олам,7590,Qalampir.uz
https://www.qalampir.uz/news/avstraliyalik-olimlar-nanoolmoslardan-sovituvchi-matoni-ishlab-chik-di-97505,Австралиялик олимлар наноолмослардан совитувчи матони ишлаб чиқди,2024-02-17,Бу қизиқ,2196,Qalampir.uz
https://www.qalampir.uz/news/zelenskiy-makron-bilan-shartnoma-tuzdi-video-97504,Зеленский Макрон билан шартнома тузди (видео),2024-02-17,Олам,4147,Qalampir.uz
https://www.qalampir.uz/news/chalkashtirish-oson-bulgan-khastaliklar-yurak-khuruzhimi-ye-pankreatit-97503,Чалкаштириш осон бўлган хасталиклар: Юрак хуружими ё панкреатит?,2024-02-17,Саломатлик,5828,Qalampir.uz
https://www.qalampir.uz/news/falastin-davlatini-tan-olish-frantsiya-uchun-tabu-emas-makron-97502,Фаластин давлатини тан олиш Франция учун табу эмас – Макрон,2024-02-17,Олам,8363,Qalampir.uz
https://www.qalampir.uz/news/tramp-suratda-uni-semiz-kursatgan-nashrni-aybladi-97501,Трамп суратда уни семиз кўрсатган нашрни айблади,2024-02-17,Олам,3619,Qalampir.uz
https://www.qalampir.uz/news/%D2%B3usiylar-britaniya-neft-tankeriga-muvaffak-iyatli-zarba-berganini-e-lon-k-ildi-97500,Ҳусийлар Британия нефть танкерига муваффақиятли зарба берганини эълон қилди,2024-02-17,Олам,5706,Qalampir.uz
https://www.qalampir.uz/news/isroil-prezidenti-k-atar-bosh-vaziri-bilan-yashirin-uchrashdi-97499,Исроил Президенти Қатар Бош вазири билан яширин учрашди,2024-02-17,Олам,3608,Qalampir.uz
https://www.qalampir.uz/news/toshkent-viloyatida-prava-tayyerlayman-deb-fuk-arolarni-chuv-tushirgan-shakhs-ushlandi-97498,"Тошкент вилоятида “права” тайёрлайман деб, фуқароларни чув туширган шахс ушланди",2024-02-17,Криминал,2492,Qalampir.uz
https://www.qalampir.uz/news/daniyalik-yigit-noodatiy-rekord-urnatdi-97497,Даниялик йигит ноодатий рекорд ўрнатди,2024-02-17,Бу қизиқ,5905,Qalampir.uz
https://www.qalampir.uz/news/uzbekiston-khalk-aro-aeroportlarida-ayrim-reyslar-k-oldirildi-97496,Ўзбекистон халқаро аэропортларида айрим рейслар қолдирилди,2024-02-17,Жамият,4913,Qalampir.uz
https://www.qalampir.uz/news/pentagon-rossiya-urushga-chuntagi-dan-k-ancha-sarflaganini-%D2%B3isobladi-97495,Пентагон Россия урушга “чўнтаги”дан қанча сарфлаганини ҳисоблади,2024-02-17,Олам,8565,Qalampir.uz
https://www.qalampir.uz/news/rossiyadan-uzbekistonga-tupponcha-olib-utmok-chi-bulgan-shakhslar-ushlandi-97494,Россиядан Ўзбекистонга тўппонча олиб ўтмоқчи бўлган шахслар ушланди,2024-02-17,Криминал,4830,Qalampir.uz
https://www.qalampir.uz/news/ukraina-dronlari-rossiya-%D2%B3ududiga-zarba-berdi-97493,Украина дронлари Россия ҳудудига зарба берди,2024-02-17,Олам,7271,Qalampir.uz
https://www.qalampir.uz/news/rossiyada-naval-niy-ulimi-ortidan-yirik-namoyishlar-boshlanib-ketdi-video-97492,Россияда Навальний ўлими ортидан йирик намойишлар бошланиб кетди (видео),2024-02-17,Олам,13621,Qalampir.uz
https://www.qalampir.uz/news/uzbekiston-internet-tezligi-buyicha-nechanchi-urinda-97491,Ўзбекистон интернет тезлиги бўйича нечанчи ўринда?,2024-02-17,Бу қизиқ,9100,Qalampir.uz
https://www.qalampir.uz/news/tinkoff-bank-asoschisi-rossiyada-khorizhiy-agent-deb-e-lon-k-ilindi-97490,“Tinkoff Bank” асосчиси Россияда “хорижий агент” деб эълон қилинди,2024-02-17,Олам,3198,Qalampir.uz
https://www.qalampir.uz/news/k-ozogiston-yullarida-k-orda-k-olib-ketgan-450-dan-ortik-odam-k-utk-arildi-97489,Қозоғистон йўлларида қорда қолиб кетган 450 дан ортиқ одам қутқарилди,2024-02-17,Олам,3306,Qalampir.uz
https://www.qalampir.uz/news/teylor-svift-paradda-kholok-bulgan-k-iz-uchun-100-ming-dollar-azhratdi-97488,Тейлор Свифт парадда ҳалок бўлган қиз учун 100 минг доллар ажратди,2024-02-17,Маданият-санъат,5552,Qalampir.uz
https://www.qalampir.uz/news/namanganda-200-mln-sumlik-elektrni-umargan-fermer-ushlandi-97487,Наманганда 200 млн сўмлик электрни ўмарган фермер ушланди,2024-02-17,Криминал,2276,Qalampir.uz
https://www.qalampir.uz/news/saddam-%D2%B3usayn-%D2%B3ak-ida-fil-m-suratga-olinadi-97486,Саддам Ҳусайн ҳақида фильм суратга олинади,2024-02-17,Маданият-санъат,6077,Qalampir.uz
https://www.qalampir.uz/news/ukraina-k-ushinlari-avdeyevkadan-chekindi-97485,Украина қўшинлари Авдеевкадан чекинди,2024-02-17,Олам,6752,Qalampir.uz
https://www.qalampir.uz/news/diyera-keldiyerova-katta-dubulga-turnirida-golib-buldi-97483,Диёра Келдиёрова “Катта Дубулға” турнирида ғолиб бўлди,2024-02-17,Спорт,2642,Qalampir.uz
